date,codes
2008-05-08,"['000002.SZ', '000004.SZ', '000005.SZ', '000006.SZ', '000007.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000511.SZ', '000514.SZ', '000526.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000592.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000668.SZ', '000671.SZ', '000711.SZ', '000712.SZ', '000718.SZ', '000736.SZ', '000760.SZ', '000797.SZ', '000836.SZ', '000897.SZ', '000931.SZ', '000965.SZ', '000975.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600082.SH', '600136.SH', '600157.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600247.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600381.SH', '600383.SH', '600393.SH', '600463.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600696.SH', '600732.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600840.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2008-06-02,"['000002.SZ', '000004.SZ', '000005.SZ', '000006.SZ', '000007.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000511.SZ', '000514.SZ', '000526.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000592.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000668.SZ', '000671.SZ', '000711.SZ', '000712.SZ', '000718.SZ', '000736.SZ', '000760.SZ', '000797.SZ', '000836.SZ', '000897.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '000975.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600082.SH', '600136.SH', '600157.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600247.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600381.SH', '600383.SH', '600393.SH', '600463.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600696.SH', '600732.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600840.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2009-06-01,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000526.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000592.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000760.SZ', '000797.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600503.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600657.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600840.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2009-08-10,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000526.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000592.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000760.SZ', '000797.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600503.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600657.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600840.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2009-08-27,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000526.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000592.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000760.SZ', '000797.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600503.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600657.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2009-10-09,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000757.SZ', '000797.SZ', '000809.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600490.SH', '600503.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600657.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2009-10-12,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000797.SZ', '000809.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600490.SH', '600503.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600657.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2009-10-22,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000797.SZ', '000809.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '002305.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600490.SH', '600503.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600657.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2010-03-17,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000797.SZ', '000809.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000918.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '000979.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '002305.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600159.SH', '600175.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600490.SH', '600503.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600657.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2010-04-16,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000797.SZ', '000809.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000918.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '000979.SZ', '001914.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '002305.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600159.SH', '600175.SH', '600185.SH', '600208.SH', '600215.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600490.SH', '600503.SH', '600533.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600657.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600791.SH', '600807.SH', '600823.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2010-06-01,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000038.SZ', '000040.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000517.SZ', '000534.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000631.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000670.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000797.SZ', '000803.SZ', '000809.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000918.SZ', '000926.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '000975.SZ', '000979.SZ', '001914.SZ', '002016.SZ', '002059.SZ', '002077.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '002305.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600158.SH', '600159.SH', '600173.SH', '600175.SH', '600185.SH', '600208.SH', '600215.SH', '600223.SH', '600225.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600490.SH', '600503.SH', '600533.SH', '600576.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600649.SH', '600657.SH', '600658.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600716.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600745.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600773.SH', '600777.SH', '600791.SH', '600807.SH', '600823.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2010-10-08,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000036.SZ', '000038.SZ', '000040.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000517.SZ', '000534.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000631.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000670.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000736.SZ', '000797.SZ', '000803.SZ', '000809.SZ', '000836.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000918.SZ', '000926.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '000975.SZ', '000979.SZ', '001914.SZ', '002016.SZ', '002059.SZ', '002077.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '002305.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600136.SH', '600158.SH', '600159.SH', '600173.SH', '600175.SH', '600185.SH', '600208.SH', '600215.SH', '600223.SH', '600225.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600322.SH', '600325.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600490.SH', '600503.SH', '600533.SH', '600576.SH', '600603.SH', '600606.SH', '600614.SH', '600615.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600648.SH', '600649.SH', '600657.SH', '600658.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600684.SH', '600687.SH', '600696.SH', '600716.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600745.SH', '600748.SH', '600753.SH', '600766.SH', '600767.SH', '600773.SH', '600777.SH', '600791.SH', '600807.SH', '600823.SH', '600872.SH', '600890.SH', '600895.SH', '601588.SH']"
2011-10-10,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000036.SZ', '000038.SZ', '000040.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000517.SZ', '000534.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000631.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000668.SZ', '000670.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000732.SZ', '000736.SZ', '000797.SZ', '000803.SZ', '000809.SZ', '000838.SZ', '000897.SZ', '000909.SZ', '000918.SZ', '000926.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '000979.SZ', '000981.SZ', '001914.SZ', '002016.SZ', '002059.SZ', '002077.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '002305.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600113.SH', '600136.SH', '600158.SH', '600159.SH', '600162.SH', '600173.SH', '600175.SH', '600185.SH', '600208.SH', '600215.SH', '600223.SH', '600225.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600275.SH', '600322.SH', '600325.SH', '600340.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600503.SH', '600533.SH', '600565.SH', '600576.SH', '600606.SH', '600614.SH', '600615.SH', '600620.SH', '600621.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600647.SH', '600648.SH', '600649.SH', '600657.SH', '600658.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600683.SH', '600684.SH', '600687.SH', '600696.SH', '600716.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600745.SH', '600748.SH', '600753.SH', '600759.SH', '600766.SH', '600767.SH', '600773.SH', '600777.SH', '600791.SH', '600807.SH', '600823.SH', '600890.SH', '600895.SH', '601588.SH']"
2012-07-02,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000036.SZ', '000038.SZ', '000040.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000517.SZ', '000526.SZ', '000534.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000628.SZ', '000631.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000668.SZ', '000670.SZ', '000671.SZ', '000711.SZ', '000718.SZ', '000732.SZ', '000736.SZ', '000797.SZ', '000803.SZ', '000809.SZ', '000838.SZ', '000863.SZ', '000897.SZ', '000909.SZ', '000918.SZ', '000926.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '000979.SZ', '000981.SZ', '001914.SZ', '002016.SZ', '002059.SZ', '002077.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '002305.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600094.SH', '600113.SH', '600136.SH', '600158.SH', '600159.SH', '600162.SH', '600173.SH', '600175.SH', '600185.SH', '600208.SH', '600215.SH', '600223.SH', '600225.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600275.SH', '600322.SH', '600325.SH', '600340.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600503.SH', '600533.SH', '600565.SH', '600576.SH', '600606.SH', '600614.SH', '600615.SH', '600620.SH', '600621.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600647.SH', '600648.SH', '600649.SH', '600657.SH', '600658.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600683.SH', '600684.SH', '600687.SH', '600696.SH', '600716.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600745.SH', '600748.SH', '600753.SH', '600759.SH', '600766.SH', '600767.SH', '600773.SH', '600777.SH', '600791.SH', '600807.SH', '600823.SH', '600890.SH', '600895.SH', '601588.SH']"
2012-10-08,"['000002.SZ', '000005.SZ', '000006.SZ', '000009.SZ', '000011.SZ', '000014.SZ', '000024.SZ', '000029.SZ', '000031.SZ', '000036.SZ', '000038.SZ', '000040.SZ', '000042.SZ', '000043.SZ', '000046.SZ', '000069.SZ', '000090.SZ', '000150.SZ', '000402.SZ', '000502.SZ', '000505.SZ', '000506.SZ', '000511.SZ', '000514.SZ', '000517.SZ', '000526.SZ', '000534.SZ', '000537.SZ', '000540.SZ', '000546.SZ', '000558.SZ', '000567.SZ', '000573.SZ', '000608.SZ', '000609.SZ', '000616.SZ', '000620.SZ', '000628.SZ', '000631.SZ', '000638.SZ', '000656.SZ', '000667.SZ', '000668.SZ', '000670.SZ', '000671.SZ', '000691.SZ', '000711.SZ', '000718.SZ', '000732.SZ', '000736.SZ', '000797.SZ', '000803.SZ', '000809.SZ', '000838.SZ', '000863.SZ', '000897.SZ', '000909.SZ', '000918.SZ', '000926.SZ', '000931.SZ', '000961.SZ', '000965.SZ', '000979.SZ', '000981.SZ', '001914.SZ', '002016.SZ', '002059.SZ', '002077.SZ', '002133.SZ', '002146.SZ', '002208.SZ', '002244.SZ', '002285.SZ', '002305.SZ', '600007.SH', '600048.SH', '600052.SH', '600053.SH', '600064.SH', '600067.SH', '600082.SH', '600094.SH', '600113.SH', '600136.SH', '600158.SH', '600159.SH', '600162.SH', '600173.SH', '600175.SH', '600185.SH', '600208.SH', '600215.SH', '600223.SH', '600225.SH', '600239.SH', '600240.SH', '600246.SH', '600266.SH', '600275.SH', '600322.SH', '600325.SH', '600340.SH', '600376.SH', '600383.SH', '600393.SH', '600463.SH', '600503.SH', '600533.SH', '600555.SH', '600565.SH', '600576.SH', '600606.SH', '600614.SH', '600615.SH', '600620.SH', '600621.SH', '600634.SH', '600638.SH', '600639.SH', '600641.SH', '600647.SH', '600648.SH', '600649.SH', '600657.SH', '600658.SH', '600663.SH', '600665.SH', '600675.SH', '600679.SH', '600683.SH', '600684.SH', '600687.SH', '600696.SH', '600716.SH', '600732.SH', '600734.SH', '600736.SH', '600743.SH', '600745.SH', '600748.SH', '600753.SH', '600759.SH', '600766.SH', '600767.SH', '600773.SH', '600777.SH', '600791.SH', '600807.SH', '600823.SH', '600890.SH', '600895.SH', '601588.SH']"
