date,codes
2018-07-17,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH']"
2018-08-07,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH']"
2018-08-31,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '002935.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH']"
2019-03-06,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '002935.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '300762.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH']"
2019-03-20,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '002935.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '300762.SZ', '300810.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH']"
2019-03-29,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '002935.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '300762.SZ', '300810.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH', '688011.SH']"
2019-04-09,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '002935.SZ', '002977.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '300762.SZ', '300810.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH', '688011.SH']"
2019-04-26,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '002935.SZ', '002977.SZ', '003009.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '300762.SZ', '300810.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH', '688011.SH']"
2019-05-08,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '002935.SZ', '002977.SZ', '003009.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '300762.SZ', '300775.SZ', '300810.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601890.SH', '601989.SH', '688011.SH']"
2019-06-10,"['000519.SZ', '000547.SZ', '000738.SZ', '000768.SZ', '002013.SZ', '002023.SZ', '002151.SZ', '002190.SZ', '002297.SZ', '002413.SZ', '002829.SZ', '002933.SZ', '002935.SZ', '002977.SZ', '003009.SZ', '300008.SZ', '300034.SZ', '300101.SZ', '300123.SZ', '300159.SZ', '300397.SZ', '300424.SZ', '300456.SZ', '300474.SZ', '300527.SZ', '300581.SZ', '300589.SZ', '300600.SZ', '300696.SZ', '300719.SZ', '300722.SZ', '300762.SZ', '300775.SZ', '300810.SZ', '600038.SH', '600072.SH', '600118.SH', '600150.SH', '600184.SH', '600316.SH', '600343.SH', '600372.SH', '600391.SH', '600435.SH', '600562.SH', '600677.SH', '600685.SH', '600760.SH', '600764.SH', '600862.SH', '600879.SH', '600893.SH', '600967.SH', '600990.SH', '601606.SH', '601698.SH', '601890.SH', '601989.SH', '688011.SH']"
